Wd,Ld,Wl,Ll,W9,L9,Vbias,I_tail,I_rama,Va,Vx,Vy
1.348,0.707,0.434,1.742,0.993,2.628,0.4,1.92491e-10,9.99907e-11,0.987981,2.75233,2.75233
1.348,0.707,0.434,1.742,0.993,2.628,0.45,7.1846e-10,3.62896e-10,0.953184,2.70001,2.70001
1.348,0.707,0.434,1.742,0.993,2.628,0.5,2.55978e-09,1.28349e-09,0.918988,2.6456,2.6456
1.348,0.707,0.434,1.742,0.993,2.628,0.55,8.52454e-09,4.26586e-09,0.885809,2.58992,2.58992
1.348,0.707,0.434,1.742,0.993,2.628,0.6,2.60654e-08,1.30363e-08,0.853825,2.53235,2.53235
1.348,0.707,0.434,1.742,0.993,2.628,0.65,7.10267e-08,3.55172e-08,0.823629,2.47096,2.47096
1.348,0.707,0.434,1.742,0.993,2.628,0.7,1.66949e-07,8.34787e-08,0.79623,2.40434,2.40434
1.348,0.707,0.434,1.742,0.993,2.628,0.75,3.37197e-07,1.68603e-07,0.772083,2.33199,2.33199
1.348,0.707,0.434,1.742,0.993,2.628,0.8,5.98063e-07,2.99035e-07,0.750873,2.2543,2.2543
1.348,0.707,0.434,1.742,0.993,2.628,0.85,9.57772e-07,4.78889e-07,0.731992,2.17242,2.17242
1.348,0.707,0.434,1.742,0.993,2.628,0.9,1.41885e-06,7.09428e-07,0.714872,2.08767,2.08767
1.348,0.707,0.434,1.742,0.993,2.628,0.95,1.98081e-06,9.90406e-07,0.699071,2.00112,2.00112
1.348,0.707,0.434,1.742,0.993,2.628,1,2.64187e-06,1.32094e-06,0.68426,1.91349,1.91349
1.348,0.707,0.434,1.742,0.993,2.628,1.05,3.39985e-06,1.69993e-06,0.670201,1.82523,1.82523
1.348,0.707,0.434,1.742,0.993,2.628,1.1,4.25239e-06,2.1262e-06,0.656719,1.73662,1.73662
1.348,0.707,0.434,1.742,0.993,2.628,1.15,5.19702e-06,2.59851e-06,0.643687,1.64785,1.64785
1.348,0.707,0.434,1.742,0.993,2.628,1.2,6.23098e-06,3.11549e-06,0.631009,1.55907,1.55907
1.348,0.707,0.434,1.742,0.993,2.628,1.25,7.35085e-06,3.67543e-06,0.618618,1.47044,1.47044
1.348,0.707,0.434,1.742,0.993,2.628,1.3,8.55142e-06,4.27571e-06,0.606473,1.38218,1.38218
1.348,0.707,0.434,1.742,0.993,2.628,1.35,9.82237e-06,4.91119e-06,0.594586,1.29482,1.29482
1.348,0.707,0.434,1.742,0.993,2.628,1.4,1.11391e-05,5.56956e-06,0.583073,1.20968,1.20968
1.348,0.707,0.434,1.742,0.993,2.628,1.45,1.24563e-05,6.22817e-06,0.572184,1.12901,1.12901
1.348,0.707,0.434,1.742,0.993,2.628,1.5,1.37344e-05,6.86718e-06,0.56207,1.05439,1.05439
1.348,0.707,0.434,1.742,0.993,2.628,1.55,1.4959e-05,7.47952e-06,0.552664,0.985805,0.985805
1.348,0.707,0.434,1.742,0.993,2.628,1.6,1.61281e-05,8.06404e-06,0.543784,0.92267,0.92267
1.348,0.707,0.434,1.742,0.993,2.628,1.65,1.72396e-05,8.6198e-06,0.535137,0.864529,0.864529
1.348,0.707,0.434,1.742,0.993,2.628,1.7,1.82835e-05,9.14177e-06,0.5261,0.811438,0.811438
1.348,0.707,0.434,1.742,0.993,2.628,1.75,1.92331e-05,9.61656e-06,0.51557,0.764309,0.764309
1.348,0.707,0.434,1.742,0.993,2.628,1.8,2.00646e-05,1.00323e-05,0.503099,0.723889,0.723889
1.348,0.707,0.434,1.742,0.993,2.628,1.85,2.07825e-05,1.03913e-05,0.48948,0.689588,0.689588
1.348,0.707,0.434,1.742,0.993,2.628,1.9,2.14051e-05,1.07026e-05,0.475627,0.660267,0.660267
1.348,0.707,0.434,1.742,0.993,2.628,1.95,2.19502e-05,1.09751e-05,0.462107,0.634905,0.634905
1.348,0.707,0.434,1.742,0.993,2.628,2,2.2432e-05,1.1216e-05,0.449202,0.612716,0.612716
1.348,0.707,0.434,1.742,0.993,2.628,2.05,2.28618e-05,1.14309e-05,0.437029,0.593104,0.593104
1.348,0.707,0.434,1.742,0.993,2.628,2.1,2.32479e-05,1.1624e-05,0.425615,0.575619,0.575619
1.348,0.707,0.434,1.742,0.993,2.628,2.15,2.35973e-05,1.17986e-05,0.414947,0.559911,0.559911
1.348,0.707,0.434,1.742,0.993,2.628,2.2,2.39151e-05,1.19575e-05,0.404987,0.545709,0.545709
1.348,0.707,0.434,1.742,0.993,2.628,2.25,2.42057e-05,1.21028e-05,0.39569,0.532797,0.532797
1.348,0.707,0.434,1.742,0.993,2.628,2.3,2.44725e-05,1.22362e-05,0.387007,0.520999,0.520999
1.348,0.707,0.434,1.742,0.993,2.628,2.35,2.47185e-05,1.23592e-05,0.378891,0.510175,0.510175
1.348,0.707,0.434,1.742,0.993,2.628,2.4,2.49459e-05,1.2473e-05,0.371297,0.500206,0.500206
1.176,1.03,2.896,0.431,0.71,0.54,0.4,3.80845e-10,1.94238e-10,0.953338,2.84532,2.84532
1.176,1.03,2.896,0.431,0.71,0.54,0.45,1.45183e-09,7.29689e-10,0.917698,2.79556,2.79556
1.176,1.03,2.896,0.431,0.71,0.54,0.5,5.354e-09,2.68082e-09,0.881964,2.74568,2.74568
1.176,1.03,2.896,0.431,0.71,0.54,0.55,1.87164e-08,9.36234e-09,0.846165,2.69617,2.69617
1.176,1.03,2.896,0.431,0.71,0.54,0.6,6.08783e-08,3.04444e-08,0.810167,2.6473,2.6473
1.176,1.03,2.896,0.431,0.71,0.54,0.65,1.80267e-07,9.01413e-08,0.774006,2.59977,2.59977
1.176,1.03,2.896,0.431,0.71,0.54,0.7,4.67382e-07,2.33704e-07,0.738332,2.55521,2.55521
1.176,1.03,2.896,0.431,0.71,0.54,0.75,1.02899e-06,5.14518e-07,0.703927,2.51479,2.51479
1.176,1.03,2.896,0.431,0.71,0.54,0.8,1.93725e-06,9.68652e-07,0.671116,2.47836,2.47836
1.176,1.03,2.896,0.431,0.71,0.54,0.85,3.21291e-06,1.60649e-06,0.639848,2.44511,2.44511
1.176,1.03,2.896,0.431,0.71,0.54,0.9,4.84159e-06,2.42084e-06,0.609927,2.41426,2.41426
1.176,1.03,2.896,0.431,0.71,0.54,0.95,6.79247e-06,3.39628e-06,0.581161,2.38523,2.38523
1.176,1.03,2.896,0.431,0.71,0.54,1,9.02826e-06,4.51418e-06,0.553417,2.35763,2.35763
1.176,1.03,2.896,0.431,0.71,0.54,1.05,1.15072e-05,5.75364e-06,0.526646,2.33127,2.33127
1.176,1.03,2.896,0.431,0.71,0.54,1.1,1.41781e-05,7.0891e-06,0.50092,2.3061,2.3061
1.176,1.03,2.896,0.431,0.71,0.54,1.15,1.69676e-05,8.48385e-06,0.476495,2.28231,2.28231
1.176,1.03,2.896,0.431,0.71,0.54,1.2,1.97626e-05,9.88132e-06,0.453894,2.26036,2.26036
1.176,1.03,2.896,0.431,0.71,0.54,1.25,2.24306e-05,1.12154e-05,0.433688,2.24078,2.24078
1.176,1.03,2.896,0.431,0.71,0.54,1.3,2.48948e-05,1.24475e-05,0.415996,2.22365,2.22365
1.176,1.03,2.896,0.431,0.71,0.54,1.35,2.71478e-05,1.35739e-05,0.400512,2.20868,2.20868
1.176,1.03,2.896,0.431,0.71,0.54,1.4,2.92096e-05,1.46048e-05,0.386847,2.19547,2.19547
1.176,1.03,2.896,0.431,0.71,0.54,1.45,3.11037e-05,1.55519e-05,0.374672,2.18371,2.18371
1.176,1.03,2.896,0.431,0.71,0.54,1.5,3.2851e-05,1.64255e-05,0.36373,2.17315,2.17315
1.176,1.03,2.896,0.431,0.71,0.54,1.55,3.4469e-05,1.72345e-05,0.35383,2.16359,2.16359
1.176,1.03,2.896,0.431,0.71,0.54,1.6,3.59724e-05,1.79862e-05,0.344813,2.15489,2.15489
1.176,1.03,2.896,0.431,0.71,0.54,1.65,3.73737e-05,1.86869e-05,0.336558,2.14693,2.14693
1.176,1.03,2.896,0.431,0.71,0.54,1.7,3.86834e-05,1.93417e-05,0.328966,2.1396,2.1396
1.176,1.03,2.896,0.431,0.71,0.54,1.75,3.99103e-05,1.99552e-05,0.321954,2.13284,2.13284
1.176,1.03,2.896,0.431,0.71,0.54,1.8,4.10624e-05,2.05312e-05,0.315456,2.12657,2.12657
1.176,1.03,2.896,0.431,0.71,0.54,1.85,4.21462e-05,2.10731e-05,0.309415,2.12075,2.12075
1.176,1.03,2.896,0.431,0.71,0.54,1.9,4.31678e-05,2.15839e-05,0.303783,2.11532,2.11532
1.176,1.03,2.896,0.431,0.71,0.54,1.95,4.41323e-05,2.20662e-05,0.298519,2.11025,2.11025
1.176,1.03,2.896,0.431,0.71,0.54,2,4.50442e-05,2.25221e-05,0.293587,2.10549,2.10549
1.176,1.03,2.896,0.431,0.71,0.54,2.05,4.59078e-05,2.29539e-05,0.288957,2.10103,2.10103
1.176,1.03,2.896,0.431,0.71,0.54,2.1,4.67265e-05,2.33633e-05,0.284602,2.09683,2.09683
1.176,1.03,2.896,0.431,0.71,0.54,2.15,4.75038e-05,2.37519e-05,0.280498,2.09288,2.09288
1.176,1.03,2.896,0.431,0.71,0.54,2.2,4.82425e-05,2.41213e-05,0.276624,2.08915,2.08915
1.176,1.03,2.896,0.431,0.71,0.54,2.25,4.89453e-05,2.44727e-05,0.272963,2.08562,2.08562
1.176,1.03,2.896,0.431,0.71,0.54,2.3,4.96146e-05,2.48073e-05,0.269497,2.08228,2.08228
1.176,1.03,2.896,0.431,0.71,0.54,2.35,5.02526e-05,2.51263e-05,0.266211,2.07912,2.07912
1.176,1.03,2.896,0.431,0.71,0.54,2.4,5.08613e-05,2.54307e-05,0.263093,2.07611,2.07611
0.308,1.773,2.36,0.387,0.782,0.673,0.4,3.34448e-10,1.71064e-10,0.939799,2.85558,2.85558
0.308,1.773,2.36,0.387,0.782,0.673,0.45,1.27474e-09,6.4123e-10,0.902577,2.806,2.806
0.308,1.773,2.36,0.387,0.782,0.673,0.5,4.69632e-09,2.35229e-09,0.864157,2.75628,2.75628
0.308,1.773,2.36,0.387,0.782,0.673,0.55,1.63894e-08,8.19985e-09,0.824148,2.70699,2.70699
0.308,1.773,2.36,0.387,0.782,0.673,0.6,5.32222e-08,2.6619e-08,0.781717,2.65837,2.65837
0.308,1.773,2.36,0.387,0.782,0.673,0.65,1.57292e-07,7.86601e-08,0.734966,2.61114,2.61114
0.308,1.773,2.36,0.387,0.782,0.673,0.7,4.06426e-07,2.03238e-07,0.682292,2.567,2.567
0.308,1.773,2.36,0.387,0.782,0.673,0.75,8.91321e-07,4.45699e-07,0.62391,2.52717,2.52717
0.308,1.773,2.36,0.387,0.782,0.673,0.8,1.67313e-06,8.3662e-07,0.561185,2.49141,2.49141
0.308,1.773,2.36,0.387,0.782,0.673,0.85,2.76927e-06,1.3847e-06,0.495791,2.45892,2.45892
0.308,1.773,2.36,0.387,0.782,0.673,0.9,4.16311e-06,2.08163e-06,0.429381,2.42897,2.42897
0.308,1.773,2.36,0.387,0.782,0.673,0.95,5.80461e-06,2.90239e-06,0.36384,2.40126,2.40126
0.308,1.773,2.36,0.387,0.782,0.673,1,7.53084e-06,3.7655e-06,0.303855,2.37694,2.37694
0.308,1.773,2.36,0.387,0.782,0.673,1.05,8.95197e-06,4.47607e-06,0.259186,2.35925,2.35925
0.308,1.773,2.36,0.387,0.782,0.673,1.1,9.99042e-06,4.9953e-06,0.228609,2.3473,2.3473
0.308,1.773,2.36,0.387,0.782,0.673,1.15,1.07842e-05,5.3922e-06,0.206223,2.33862,2.33862
0.308,1.773,2.36,0.387,0.782,0.673,1.2,1.14188e-05,5.70949e-06,0.188873,2.33192,2.33192
0.308,1.773,2.36,0.387,0.782,0.673,1.25,1.1942e-05,5.97107e-06,0.174904,2.32654,2.32654
0.308,1.773,2.36,0.387,0.782,0.673,1.3,1.23829e-05,6.19152e-06,0.163351,2.3221,2.3221
0.308,1.773,2.36,0.387,0.782,0.673,1.35,1.27608e-05,6.38047e-06,0.1536,2.31836,2.31836
0.308,1.773,2.36,0.387,0.782,0.673,1.4,1.3089e-05,6.54456e-06,0.14524,2.31516,2.31516
0.308,1.773,2.36,0.387,0.782,0.673,1.45,1.33771e-05,6.68863e-06,0.137981,2.31238,2.31238
0.308,1.773,2.36,0.387,0.782,0.673,1.5,1.36323e-05,6.81626e-06,0.13161,2.30995,2.30995
0.308,1.773,2.36,0.387,0.782,0.673,1.55,1.38602e-05,6.93018e-06,0.12597,2.30779,2.30779
0.308,1.773,2.36,0.387,0.782,0.673,1.6,1.40649e-05,7.03254e-06,0.12094,2.30587,2.30587
0.308,1.773,2.36,0.387,0.782,0.673,1.65,1.42499e-05,7.12504e-06,0.116423,2.30415,2.30415
0.308,1.773,2.36,0.387,0.782,0.673,1.7,1.4418e-05,7.20906e-06,0.112344,2.3026,2.3026
0.308,1.773,2.36,0.387,0.782,0.673,1.75,1.45713e-05,7.28572e-06,0.108642,2.30119,2.30119
0.308,1.773,2.36,0.387,0.782,0.673,1.8,1.47117e-05,7.35593e-06,0.105267,2.2999,2.2999
0.308,1.773,2.36,0.387,0.782,0.673,1.85,1.48408e-05,7.42048e-06,0.102178,2.29872,2.29872
0.308,1.773,2.36,0.387,0.782,0.673,1.9,1.49598e-05,7.48001e-06,0.0993394,2.29764,2.29764
0.308,1.773,2.36,0.387,0.782,0.673,1.95,1.507e-05,7.53507e-06,0.0967233,2.29665,2.29665
0.308,1.773,2.36,0.387,0.782,0.673,2,1.51721e-05,7.58615e-06,0.0943049,2.29573,2.29573
0.308,1.773,2.36,0.387,0.782,0.673,2.05,1.52671e-05,7.63364e-06,0.092063,2.29487,2.29487
0.308,1.773,2.36,0.387,0.782,0.673,2.1,1.53556e-05,7.67789e-06,0.0899796,2.29408,2.29408
0.308,1.773,2.36,0.387,0.782,0.673,2.15,1.54383e-05,7.71922e-06,0.088039,2.29334,2.29334
0.308,1.773,2.36,0.387,0.782,0.673,2.2,1.55156e-05,7.7579e-06,0.0862275,2.29265,2.29265
